team1,team2,home_team,team1_score,year,week,postseason,Att_x,Cmp,Cmp %,Yds/Att,Pass Yds,TD_x,INT,Rate,1st,1st%,20+_x,40+_x,Sck,SckY,Att_y,Rush Yds,YPC,TD_y,20+_y,40+_y,Rush 1st,Rush 1st%,Rush FUM,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,allowed_Att_x,allowed_Cmp,allowed_Cmp %,allowed_Yds/Att,allowed_Yds,allowed_TD_x,allowed_INT_x,allowed_1st,allowed_1st%,allowed_Sck,allowed_Att_y,allowed_Rush Yds,allowed_YPC,allowed_TD_y,allowed_Rush 1st,allowed_Rush 1st%,allowed_FF,allowed_FR,allowed_FR TD,allowed_INT_y,allowed_INT TD,allowed_INT Yds
Lions,Vikings,1,34,2013,1,0,634.0,371.0,58.5,7.3,4650.0,29.0,19.0,84.2,221.0,34.9,62.0,10.0,23.0,168.0,445.0,1792.0,4.0,15.0,8.0,0.0,105.0,23.6,19.0,19.0,79.2,42.0,97.7,1.0,1.0,648.0,419.0,64.7,7.1,4595.0,37.0,12.0,247.0,38.1,41.0,443.0,1767.0,4.0,14.0,101.0,22.8,12.0,8.0,1.0,12.0,0.0,78.0
Vikings,Lions,0,24,2013,1,0,546.0,325.0,59.5,6.7,3645.0,18.0,19.0,76.0,173.0,31.7,54.0,7.0,44.0,218.0,423.0,2081.0,4.9,23.0,16.0,5.0,105.0,24.8,9.0,26.0,86.7,43.0,97.7,2.0,1.0,572.0,338.0,59.1,6.9,3950.0,24.0,15.0,197.0,34.4,33.0,377.0,1596.0,4.2,10.0,62.0,16.4,11.0,7.0,1.0,15.0,1.0,211.0
Colts,Raiders,1,21,2013,1,0,582.0,350.0,60.1,6.8,3952.0,23.0,10.0,86.5,191.0,32.8,45.0,10.0,32.0,227.0,409.0,1743.0,4.3,15.0,11.0,2.0,88.0,21.5,3.0,35.0,87.5,34.0,100.0,0.0,0.0,549.0,374.0,68.1,7.4,4092.0,33.0,9.0,202.0,36.8,38.0,442.0,1727.0,3.9,15.0,100.0,22.6,19.0,12.0,2.0,9.0,1.0,83.0
Raiders,Colts,0,17,2013,1,0,519.0,298.0,57.4,7.0,3629.0,17.0,20.0,73.9,168.0,32.4,48.0,8.0,44.0,289.0,437.0,2000.0,4.6,16.0,18.0,3.0,90.0,20.6,7.0,21.0,70.0,37.0,100.0,0.0,0.0,536.0,324.0,60.4,6.9,3711.0,21.0,15.0,191.0,35.6,42.0,448.0,2002.0,4.5,14.0,101.0,22.5,19.0,12.0,0.0,15.0,1.0,186.0
Jaguars,Chiefs,1,2,2013,1,0,592.0,349.0,59.0,6.3,3751.0,16.0,21.0,71.8,176.0,29.7,44.0,6.0,50.0,310.0,378.0,1260.0,3.3,7.0,7.0,2.0,71.0,18.8,5.0,23.0,92.0,22.0,95.6,0.0,0.0,592.0,334.0,56.4,6.7,3962.0,25.0,21.0,189.0,31.9,47.0,428.0,1923.0,4.5,9.0,88.0,20.6,13.0,15.0,2.0,21.0,5.0,488.0
Chiefs,Jaguars,0,28,2013,1,0,546.0,333.0,61.0,6.5,3561.0,24.0,8.0,88.6,179.0,32.8,45.0,7.0,41.0,221.0,442.0,2056.0,4.6,17.0,13.0,1.0,110.0,24.9,8.0,22.0,78.6,52.0,100.0,2.0,2.0,551.0,354.0,64.2,7.2,3962.0,29.0,11.0,200.0,36.3,31.0,507.0,2108.0,4.2,20.0,121.0,23.9,15.0,10.0,1.0,11.0,1.0,172.0
Jets,Buccaneers,1,18,2013,1,0,480.0,266.0,55.4,6.8,3270.0,13.0,22.0,66.6,154.0,32.1,47.0,6.0,47.0,338.0,493.0,2158.0,4.4,12.0,14.0,2.0,105.0,21.3,7.0,33.0,91.7,27.0,100.0,0.0,0.0,547.0,352.0,64.4,7.0,3806.0,30.0,21.0,190.0,34.7,35.0,438.0,1762.0,4.0,10.0,95.0,21.7,15.0,10.0,0.0,21.0,3.0,338.0
Buccaneers,Jets,0,17,2013,1,0,514.0,291.0,56.6,6.2,3181.0,22.0,12.0,79.6,157.0,30.5,39.0,7.0,47.0,361.0,420.0,1612.0,3.8,6.0,9.0,2.0,75.0,17.9,6.0,23.0,79.3,31.0,100.0,0.0,0.0,586.0,345.0,58.9,6.7,3947.0,26.0,13.0,198.0,33.8,41.0,421.0,1412.0,3.4,9.0,68.0,16.2,10.0,2.0,0.0,13.0,1.0,167.0
Saints,Falcons,1,23,2013,1,0,651.0,446.0,68.5,7.9,5162.0,39.0,12.0,104.5,244.0,37.5,67.0,15.0,37.0,244.0,391.0,1473.0,3.8,10.0,7.0,0.0,87.0,22.2,1.0,24.0,75.0,48.0,100.0,0.0,0.0,516.0,341.0,66.1,7.6,3897.0,31.0,10.0,196.0,38.0,32.0,455.0,2173.0,4.8,14.0,102.0,22.4,13.0,10.0,1.0,10.0,2.0,176.0
Falcons,Saints,0,17,2013,1,0,659.0,445.0,67.5,6.9,4541.0,26.0,17.0,89.5,227.0,34.4,44.0,9.0,44.0,298.0,321.0,1247.0,3.9,11.0,6.0,2.0,64.0,19.9,1.0,24.0,88.9,39.0,100.0,0.0,0.0,507.0,304.0,60.0,6.1,3105.0,20.0,12.0,168.0,33.1,49.0,387.0,1786.0,4.6,11.0,82.0,21.2,13.0,7.0,0.0,12.0,0.0,169.0
