team1,team2,home_team,team1_score,year,week,postseason,Att_x,Cmp,Cmp %,Yds/Att,Pass Yds,TD_x,INT,Rate,1st,1st%,20+_x,40+_x,Sck,SckY,Att_y,Rush Yds,YPC,TD_y,20+_y,40+_y,Rush 1st,Rush 1st%,Rush FUM,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,allowed_Att_x,allowed_Cmp,allowed_Cmp %,allowed_Yds/Att,allowed_Yds,allowed_TD_x,allowed_INT_x,allowed_1st,allowed_1st%,allowed_Sck,allowed_Att_y,allowed_Rush Yds,allowed_YPC,allowed_TD_y,allowed_Rush 1st,allowed_Rush 1st%,allowed_FF,allowed_FR,allowed_FR TD,allowed_INT_y,allowed_INT TD,allowed_INT Yds
Steelers,Titans,1,9,2013,1,0,586.0,377.0,64.3,7.4,4306.0,28.0,14.0,92.3,207.0,35.3,61.0,10.0,43.0,289.0,394.0,1383.0,3.5,9.0,7.0,1.0,81.0,20.6,6.0,30.0,93.8,39.0,100.0,0.0,1.0,545.0,344.0,63.1,6.6,3612.0,15.0,13.0,191.0,35.0,36.0,446.0,1795.0,4.0,21.0,108.0,24.2,14.0,12.0,2.0,13.0,1.0,113.0
Titans,Steelers,0,16,2013,1,0,533.0,328.0,61.5,7.0,3710.0,22.0,16.0,83.6,172.0,32.3,48.0,10.0,37.0,214.0,462.0,1894.0,4.1,16.0,11.0,0.0,103.0,22.3,8.0,25.0,86.2,41.0,100.0,0.0,0.0,569.0,329.0,57.8,6.2,3553.0,21.0,10.0,174.0,30.6,34.0,433.0,1849.0,4.3,18.0,106.0,24.5,16.0,10.0,0.0,10.0,3.0,203.0
Rams,Cardinals,1,27,2013,1,0,506.0,301.0,59.5,6.6,3360.0,22.0,11.0,84.8,165.0,32.6,41.0,5.0,36.0,235.0,426.0,1752.0,4.1,10.0,11.0,4.0,82.0,19.2,6.0,26.0,92.9,34.0,100.0,0.0,1.0,625.0,367.0,58.7,6.0,3728.0,29.0,20.0,208.0,33.3,47.0,370.0,1351.0,3.6,5.0,68.0,18.4,11.0,9.0,1.0,20.0,4.0,251.0
Cardinals,Rams,0,24,2013,1,0,574.0,363.0,63.2,7.5,4291.0,24.0,22.0,83.9,205.0,35.7,49.0,9.0,41.0,289.0,422.0,1540.0,3.6,12.0,10.0,1.0,84.0,19.9,7.0,30.0,83.3,37.0,100.0,0.0,0.0,521.0,355.0,68.1,7.4,3874.0,21.0,14.0,203.0,39.0,53.0,440.0,1646.0,3.7,18.0,87.0,19.8,21.0,15.0,3.0,14.0,2.0,256.0
Niners,Packers,1,34,2013,1,0,417.0,244.0,58.5,7.7,3210.0,21.0,8.0,91.7,148.0,35.5,46.0,10.0,39.0,231.0,505.0,2201.0,4.4,18.0,20.0,3.0,115.0,22.8,7.0,32.0,88.9,44.0,100.0,0.0,0.0,539.0,332.0,61.6,7.3,3956.0,30.0,11.0,190.0,35.2,44.0,432.0,2000.0,4.6,16.0,116.0,26.8,16.0,11.0,2.0,11.0,0.0,36.0
Packers,Niners,0,28,2013,1,0,570.0,366.0,64.2,8.0,4538.0,25.0,16.0,91.7,201.0,35.3,65.0,11.0,45.0,270.0,459.0,2136.0,4.6,17.0,11.0,5.0,118.0,25.7,7.0,33.0,89.2,42.0,100.0,0.0,1.0,585.0,345.0,59.0,6.0,3536.0,19.0,18.0,181.0,30.9,38.0,397.0,1535.0,3.9,11.0,77.0,19.4,12.0,10.0,3.0,18.0,2.0,278.0
Cowboys,Giants,1,36,2013,1,0,586.0,375.0,64.0,7.2,4226.0,33.0,12.0,95.7,213.0,36.4,48.0,7.0,35.0,272.0,336.0,1504.0,4.5,12.0,9.0,4.0,80.0,23.8,5.0,28.0,93.3,47.0,100.0,0.0,1.0,601.0,361.0,60.1,6.0,3573.0,21.0,17.0,198.0,33.0,34.0,454.0,1743.0,3.8,12.0,101.0,22.2,15.0,12.0,0.0,17.0,2.0,270.0
Giants,Cowboys,0,31,2013,1,0,567.0,325.0,57.3,6.8,3875.0,18.0,29.0,67.6,176.0,31.0,54.0,7.0,40.0,287.0,381.0,1332.0,3.5,11.0,4.0,1.0,77.0,20.2,12.0,23.0,88.5,31.0,100.0,0.0,0.0,623.0,403.0,64.7,7.4,4589.0,33.0,15.0,231.0,37.1,34.0,437.0,2056.0,4.7,17.0,122.0,27.9,13.0,13.0,3.0,15.0,2.0,257.0
Redskins,Eagles,1,27,2013,1,0,611.0,355.0,58.1,6.6,4057.0,20.0,19.0,76.1,198.0,32.4,39.0,6.0,43.0,306.0,453.0,2164.0,4.8,14.0,16.0,1.0,112.0,24.7,11.0,21.0,80.8,33.0,100.0,0.0,0.0,670.0,408.0,60.9,6.9,4636.0,25.0,19.0,239.0,35.7,37.0,443.0,1668.0,3.8,12.0,100.0,22.6,13.0,12.0,1.0,19.0,1.0,294.0
Eagles,Redskins,0,33,2013,1,0,508.0,310.0,61.0,8.7,4406.0,32.0,9.0,102.7,197.0,38.8,80.0,18.0,46.0,296.0,500.0,2566.0,5.1,19.0,19.0,5.0,133.0,26.6,5.0,23.0,82.1,45.0,100.0,0.0,0.0,514.0,337.0,65.6,7.6,3896.0,29.0,16.0,204.0,39.7,36.0,443.0,1769.0,4.0,23.0,102.0,23.0,12.0,9.0,1.0,16.0,4.0,247.0
Chargers,Texans,1,28,2013,1,0,544.0,378.0,69.5,8.2,4478.0,32.0,11.0,105.5,230.0,42.3,60.0,6.0,30.0,150.0,486.0,1965.0,4.0,9.0,7.0,2.0,103.0,21.2,5.0,34.0,91.9,42.0,100.0,0.0,0.0,484.0,287.0,59.3,6.4,3123.0,29.0,7.0,158.0,32.6,32.0,454.0,1958.0,4.3,11.0,88.0,19.4,10.0,4.0,0.0,7.0,1.0,86.0
Texans,Chargers,0,31,2013,1,0,633.0,371.0,58.6,6.6,4183.0,19.0,22.0,74.0,198.0,31.3,53.0,9.0,42.0,370.0,414.0,1743.0,4.2,7.0,7.0,1.0,89.0,21.5,5.0,26.0,74.3,26.0,100.0,0.0,1.0,548.0,364.0,66.4,7.6,4139.0,23.0,11.0,208.0,38.0,35.0,376.0,1725.0,4.6,14.0,98.0,26.1,11.0,6.0,0.0,11.0,1.0,143.0
Patriots,Jets,1,13,2013,2,0,628.0,380.0,60.5,6.9,4343.0,25.0,11.0,87.3,225.0,35.8,49.0,8.0,40.0,256.0,470.0,2065.0,4.4,19.0,12.0,2.0,109.0,23.2,10.0,38.0,92.7,44.0,100.0,0.0,0.0,586.0,345.0,58.9,6.7,3947.0,26.0,13.0,198.0,33.8,41.0,421.0,1412.0,3.4,9.0,68.0,16.2,10.0,2.0,0.0,13.0,1.0,167.0
